Protocol,Slug,TVL,Volume_24h,Volume_7d,Volume_30d,Volume_Total,Fees_24h,Fees_7d,Fees_30d,Revenue_24h,Revenue_7d,Revenue_30d
Uniswap V3,uniswap-v3,26936957.92566,1917532095,12090358454,0,0,2176717,13001079,0,0,0,0
Curve DEX,curve-dex,11264571.287,384072475,1845560610,0,0,60712,372723,0,0,0,0
Uniswap V2,uniswap-v2,572270.32492,392219685,2281871386,0,0,1176658,6845615,0,0,0,0
PancakeSwap AMM,pancakeswap-amm,1302911051.54347,1027774799,6604256575,0,0,2558935,17037366,0,0,0,0
Uniswap V4,uniswap-v4,4953892.48386,667664158,4649697665,0,0,0,0,0,0,0,0
PancakeSwap AMM V3,pancakeswap-amm-v3,359821907.97322,1648055392,8108729511,0,0,563214,3554184,0,0,0,0
iZiSwap,iziswap,188258.17357,1307709,5824459,0,0,112,551,0,0,0,0
Thorchain,thorchain,0.0,115101456,518494539,0,0,0,81483,0,0,0,0
SushiSwap,sushiswap,497882.66229,5427426,52071809,0,0,16779,157210,0,0,0,0
StakeStone SBTC,stakestone-sbtc,14922762.58585,0,0,0,0,0,0,0,0,0,0
Joe DEX,joe-dex,14964.5728,0,0,0,0,0,0,0,0,0,0
Joe V2.1,joe-v2.1,62120.68389,6016568,52306221,0,0,1095,6200,0,0,0,0
SushiSwap V3,sushiswap-v3,64638.91541,9553626,80828584,0,0,5208,44159,0,0,0,0
PancakeSwap StableSwap,pancakeswap-stableswap,21493698.04076,17283977,73768863,0,0,42721,231873,0,0,0,0
Frax Swap,frax-swap,279965.54581,1416122,10730353,0,0,2763,22519,0,0,0,0
THENA FUSION,thena-fusion,23449221.27614,25720923,159288412,0,0,35391,201662,0,0,0,0
DODO AMM,dodo-amm,4225603.59044,50047416,353023626,0,0,58849,691303,0,0,0,0
SoSoValue Indexes,sosovalue-indexes,4.11126,0,0,0,0,0,0,0,0,0,0
Maverick V2,maverick-v2,105674.51787,52846571,760146801,0,0,952,11263,0,0,0,0
MetaCoin Swap,metacoin-swap,16061265.21832,0,0,0,0,0,0,0,0,0,0
